time	V(vout)	-I(Rl)
0.000000000000000e+000	9.996057e+000	-0.000000e+000
3.999999984016789e-011	9.996057e+000	-0.000000e+000
1.599999993606716e-010	9.996057e+000	-0.000000e+000
3.199999987213431e-010	9.996057e+000	-0.000000e+000
1.279999994885372e-009	9.996057e+000	-0.000000e+000
5.119999979541490e-009	9.996056e+000	-0.000000e+000
1.023999995908298e-008	9.996056e+000	-0.000000e+000
4.095999983633192e-008	9.996057e+000	-0.000000e+000
8.191999967266384e-008	9.996057e+000	-0.000000e+000
1.638399993453277e-007	9.996057e+000	-0.000000e+000
6.553599973813107e-007	9.996057e+000	-0.000000e+000
1.089183999700722e-005	9.996057e+000	-0.000000e+000
2.112831999663312e-005	9.996057e+000	-0.000000e+000
3.136479999625903e-005	9.996057e+000	-0.000000e+000
4.160127999588493e-005	9.996057e+000	-0.000000e+000
5.183775999551084e-005	9.996057e+000	-0.000000e+000
6.207423999513675e-005	9.996057e+000	-0.000000e+000
7.231071999476263e-005	9.996057e+000	-0.000000e+000
1.006310719994763e-003	9.996057e+000	-0.000000e+000
1.997310719994763e-003	9.996057e+000	-0.000000e+000
1.999000000000000e-003	9.996057e+000	-0.000000e+000
2.000000000000000e-003	9.996057e+000	-0.000000e+000
2.000000024414062e-003	3.332019e+000	1.957441e+001
2.000000073242188e-003	2.306171e-009	1.153085e+001
2.000000074768066e-003	2.270936e-009	1.135468e+001
2.000000077819824e-003	2.376210e-009	1.188105e+001
2.000000083923340e-003	2.461610e-009	1.230805e+001
2.000000090126850e-003	2.498605e-009	1.249303e+001
2.000000102533871e-003	2.532066e-009	1.266033e+001
2.000000121060949e-003	2.557531e-009	1.278766e+001
2.000000147694992e-003	2.577738e-009	1.288869e+001
2.000000176492670e-003	2.598186e-009	1.299093e+001
2.000000225871384e-003	2.636764e-009	1.318382e+001
2.000000276067946e-003	2.670624e-009	1.335312e+001
2.000000330313546e-003	2.693427e-009	1.346714e+001
2.000000380668786e-003	2.702784e-009	1.351392e+001
2.000000437317711e-003	2.705354e-009	1.352677e+001
2.000000494866725e-003	2.703619e-009	1.351809e+001
2.000000555910163e-003	2.698838e-009	1.349419e+001
2.000000617881046e-003	2.691871e-009	1.345936e+001
2.000000692535539e-003	2.681601e-009	1.340801e+001
2.000000771860208e-003	2.669183e-009	1.334591e+001
2.000000865870339e-003	2.653163e-009	1.326581e+001
2.000000967578961e-003	2.634922e-009	1.317461e+001
2.000001090825571e-003	2.612294e-009	1.306147e+001
2.000001230819064e-003	2.586681e-009	1.293341e+001
2.000001409863100e-003	2.554991e-009	1.277496e+001
2.000001633295856e-003	2.518315e-009	1.259157e+001
2.000001975497873e-003	2.469226e-009	1.234613e+001
2.000002428025068e-003	2.416629e-009	1.208314e+001
2.000002954193870e-003	2.371684e-009	1.185842e+001
2.000003553555893e-003	2.338101e-009	1.169050e+001
2.000004187115147e-003	2.317854e-009	1.158927e+001
2.000004764097845e-003	2.310114e-009	1.155057e+001
2.000005420729107e-003	2.310225e-009	1.155113e+001
2.000006117886040e-003	2.317172e-009	1.158586e+001
2.000006964624737e-003	2.331637e-009	1.165819e+001
2.000007666698098e-003	2.347340e-009	1.173670e+001
2.000008158340403e-003	2.360332e-009	1.180166e+001
2.000008626541388e-003	2.373063e-009	1.186531e+001
2.000009054213684e-003	2.383828e-009	1.191914e+001
2.000009421918927e-003	2.392385e-009	1.196192e+001
2.000009810514061e-003	2.400747e-009	1.200374e+001
2.000010587704329e-003	2.415734e-009	1.207867e+001
2.000011377053459e-003	2.428303e-009	1.214151e+001
2.000012620892775e-003	2.442480e-009	1.221240e+001
2.000014337228198e-003	2.454818e-009	1.227409e+001
2.000015911607703e-003	2.461308e-009	1.230654e+001
2.000017271971932e-003	2.464455e-009	1.232227e+001
